,lr,elapse,train_losses,train_loss_joints,train_loss_root,len(dataset),path_err_mean,joint_err_mean
0,0.0005,449.54336404800415,0.5052016377449036,0.2177983820438385,0.2874029278755188,34420,,
1,0.0004928571428571429,456.90830850601196,0.27357998490333557,0.09487645328044891,0.1787036508321762,34420,,
2,0.0004857142857142857,464.5570740699768,0.2607409954071045,0.09185333549976349,0.16888771951198578,34420,,
3,0.0004785714285714286,452.87017917633057,0.2543525695800781,0.090073361992836,0.16427935659885406,34420,,
4,0.0004714285714285714,453.87972688674927,0.2495974898338318,0.08890621364116669,0.16069141030311584,34420,,
5,0.00046428571428571433,448.99495935440063,0.24664272367954254,0.08810553699731827,0.1585370898246765,13162,119.32589970810982,72.93714229975849
6,0.00045714285714285713,467.217325925827,0.2446582168340683,0.08746708929538727,0.15719114243984222,34420,,
7,0.00045000000000000004,450.44746375083923,0.24228325486183167,0.08675917983055115,0.1555241197347641,34420,,
8,0.00044285714285714284,461.5471866130829,0.24121208488941193,0.0861448347568512,0.15506722033023834,34420,,
9,0.00043571428571428575,448.83144974708557,0.2392463982105255,0.08577962964773178,0.1534668654203415,34420,,
10,0.0004285714285714286,452.3170702457428,0.23837512731552124,0.08529557287693024,0.15307976305484772,34420,,
11,0.00042142857142857146,458.0033814907074,0.23731224238872528,0.08511237800121307,0.15219983458518982,13162,115.58625768891059,69.8840264469281
12,0.00041428571428571426,451.21274042129517,0.23600250482559204,0.08474279195070267,0.15125952661037445,34420,,
13,0.00040714285714285717,454.82035517692566,0.23540404438972473,0.08451396226882935,0.15088997781276703,34420,,
14,0.0004,453.7839787006378,0.2340681552886963,0.08424552530050278,0.14982281625270844,34420,,
15,0.0003928571428571429,456.0462980270386,0.23304611444473267,0.08397941291332245,0.14906664192676544,34420,,
16,0.0003857142857142857,451.87075686454773,0.2324458807706833,0.08382417261600494,0.1486215591430664,34420,,
17,0.0003785714285714286,451.05555868148804,0.23201480507850647,0.08371248841285706,0.14830222725868225,13162,112.54440965246684,68.92631976801407
18,0.00037142857142857143,480.151606798172,0.23127000033855438,0.08358065038919449,0.14768925309181213,34420,,
19,0.00036428571428571434,459.1506493091583,0.23077112436294556,0.08334670215845108,0.14742453396320343,34420,,
20,0.00035714285714285714,451.2713289260864,0.23027804493904114,0.08326032012701035,0.1470176875591278,34420,,
21,0.00035,450.28939175605774,0.22901898622512817,0.0830889418721199,0.14592982828617096,34420,,
22,0.00034285714285714285,451.9940309524536,0.22892381250858307,0.08304521441459656,0.1458786278963089,34420,,
23,0.00033571428571428576,463.27304887771606,0.2279820591211319,0.08281929045915604,0.1451629251241684,13162,110.95206594046802,68.18004835654565
24,0.00032857142857142856,453.2889652252197,0.22712859511375427,0.08266320079565048,0.1444654017686844,34420,,
25,0.0003214285714285714,447.8812277317047,0.2269173562526703,0.08265804499387741,0.14425916969776154,34420,,
26,0.00031428571428571427,451.3771970272064,0.22702525556087494,0.08250098675489426,0.14452433586120605,34420,,
27,0.0003071428571428572,457.79600620269775,0.2258419245481491,0.08242742717266083,0.1434146910905838,13162,109.7442295213052,67.98610479421909
28,0.0003,453.1774671077728,0.22521363198757172,0.08234790712594986,0.14286571741104126,34420,,
29,0.00029285714285714283,463.56118154525757,0.22533129155635834,0.08223211020231247,0.14309926331043243,34420,,
30,0.0002857142857142857,454.9506103992462,0.224861279129982,0.08214526623487473,0.14271590113639832,34420,,
31,0.0002785714285714286,457.66728806495667,0.223603293299675,0.08206481486558914,0.14153841137886047,13162,110.69953445778772,67.78294319638754
32,0.00027142857142857144,452.99909257888794,0.22371771931648254,0.08191687613725662,0.14180095493793488,34420,,
33,0.0002642857142857143,451.66799902915955,0.222946435213089,0.08186562359333038,0.14108088612556458,34420,,
34,0.0002571428571428571,459.3351836204529,0.22230210900306702,0.08168062567710876,0.1406215876340866,34420,,
35,0.00025,453.5864100456238,0.22175659239292145,0.08159045875072479,0.14016596972942352,13162,110.24707756104999,67.36996416849915
36,0.00024285714285714289,458.5034773349762,0.2217637598514557,0.08159663528203964,0.1401670128107071,34420,,
37,0.0002357142857142857,450.3294699192047,0.22114330530166626,0.08142143487930298,0.13972207903862,34420,,
38,0.0002285714285714286,457.52482986450195,0.220338836312294,0.08138590306043625,0.13895291090011597,34420,,
39,0.00022142857142857142,453.23135781288147,0.22001586854457855,0.08127047121524811,0.13874542713165283,13162,111.1532473528146,67.62297420440528
40,0.0002142857142857143,451.4429221153259,0.22036674618721008,0.08127685636281967,0.1390899419784546,34420,,
41,0.00020714285714285713,452.0303301811218,0.21938998997211456,0.08114000409841537,0.13825002312660217,34420,,
42,0.0002,450.2936420440674,0.21887843310832977,0.08108951896429062,0.13778874278068542,34420,,
43,0.00019285714285714284,444.866580247879,0.21853135526180267,0.08097846060991287,0.13755282759666443,13162,108.91857140876274,67.09545111731136
44,0.00018571428571428572,456.19061756134033,0.217654749751091,0.08087917417287827,0.13677574694156647,34420,,
45,0.00017857142857142854,456.9070019721985,0.217605322599411,0.08080903440713882,0.13679608702659607,34420,,
46,0.00017142857142857143,466.3994119167328,0.21720543503761292,0.08070854097604752,0.13649702072143555,34420,,
47,0.0001642857142857143,458.1343014240265,0.21661238372325897,0.08071102201938629,0.1359013319015503,13162,109.71740432981956,67.05465277487376
48,0.00015714285714285713,474.40384435653687,0.21621207892894745,0.08061487972736359,0.135597363114357,34420,,
49,0.00015000000000000001,494.3551423549652,0.21592725813388824,0.08049649000167847,0.13543091714382172,13162,109.55326753931284,67.30839339107425
50,0.00014285714285714284,510.45073223114014,0.2153182476758957,0.08047091215848923,0.13484729826450348,34420,,
51,0.00013571428571428572,542.6162762641907,0.21527361869812012,0.08040684461593628,0.13486674427986145,13162,109.73884197608342,67.07105609467328
52,0.00012857142857142855,516.4328379631042,0.21451644599437714,0.08023398369550705,0.134282648563385,34420,,
53,0.00012142857142857144,506.55026388168335,0.21423600614070892,0.08016355335712433,0.13407260179519653,13162,108.69248650928452,67.0630999292701
54,0.00011428571428571427,508.131441116333,0.21380700170993805,0.08016590774059296,0.1336411088705063,34420,,
55,0.00010714285714285715,504.08716225624084,0.21333765983581543,0.08003518730401993,0.13330259919166565,13162,110.83113782453697,66.97483834987027
56,9.999999999999998e-05,514.3003492355347,0.213127002120018,0.08002740889787674,0.13309970498085022,34420,,
57,9.285714285714286e-05,545.0389430522919,0.21227200329303741,0.0799858346581459,0.13228613138198853,13162,109.82663873881678,67.16326369571843
