,lr,elapse,train_losses,train_loss_joints,train_loss_root,len(dataset),path_err_mean,joint_err_mean
0,0.0005,1186.150318622589,0.4979690611362457,0.2123013287782669,0.28566890954971313,34420,,
1,0.0004928571428571429,1183.6591637134552,0.2753968834877014,0.09605258703231812,0.1793443113565445,34420,,
2,0.0004857142857142857,1177.7256014347076,0.2613857686519623,0.09275425970554352,0.16863146424293518,34420,,
3,0.0004785714285714286,1179.4351029396057,0.2550220787525177,0.09063790738582611,0.16438406705856323,34420,,
4,0.0004714285714285714,1175.3626942634583,0.250584214925766,0.08936824649572372,0.16121602058410645,34420,,
5,0.00046428571428571433,1181.419110774994,0.24795903265476227,0.08853958547115326,0.15941941738128662,13162,120.93951476924941,73.05386790714489
6,0.00045714285714285713,1178.7772629261017,0.24578891694545746,0.08790052682161331,0.15788836777210236,34420,,
7,0.00045000000000000004,1178.3311705589294,0.24356840550899506,0.08716323971748352,0.15640506148338318,34420,,
8,0.00044285714285714284,1178.977607011795,0.2420130968093872,0.0867605060338974,0.15525248646736145,34420,,
9,0.00043571428571428575,1177.7280480861664,0.2402532547712326,0.08614474534988403,0.15410864353179932,34420,,
10,0.0004285714285714286,1177.7329585552216,0.23921093344688416,0.08577209711074829,0.15343904495239258,34420,,
11,0.00042142857142857146,1181.5046260356903,0.23825201392173767,0.08542130142450333,0.15283076465129852,13162,114.62678199017226,70.04648936800619
12,0.00041428571428571426,1178.0893688201904,0.23717112839221954,0.085044726729393,0.1521264761686325,34420,,
13,0.00040714285714285717,1177.1989631652832,0.23657621443271637,0.08478774130344391,0.15178844332695007,34420,,
14,0.0004,1180.2643682956696,0.23527322709560394,0.08462580293416977,0.15064749121665955,34420,,
15,0.0003928571428571429,1176.9550430774689,0.23387359082698822,0.08428242057561874,0.149591326713562,34420,,
16,0.0003857142857142857,1175.0824973583221,0.23343640565872192,0.08404562622308731,0.1493905931711197,34420,,
17,0.0003785714285714286,1178.5798637866974,0.23283016681671143,0.08393673598766327,0.1488933563232422,13162,112.43693920584019,69.01192720240734
18,0.00037142857142857143,1175.9387350082397,0.2322220355272293,0.08370793610811234,0.14851410686969757,34420,,
19,0.00036428571428571434,1180.7615895271301,0.2317020744085312,0.08354919403791428,0.1481529176235199,34420,,
20,0.00035714285714285714,1173.7571527957916,0.23101288080215454,0.08344601839780807,0.14756658673286438,34420,,
21,0.00035,1172.3767623901367,0.230361670255661,0.08335624635219574,0.14700549840927124,34420,,
22,0.00034285714285714285,1169.4202618598938,0.22950178384780884,0.08308938145637512,0.14641234278678894,34420,,
23,0.00033571428571428576,1173.619990348816,0.2291894257068634,0.0829717218875885,0.14621756970882416,13162,112.01034179519165,68.1478954179026
24,0.00032857142857142856,1178.8274607658386,0.22856272757053375,0.08284519612789154,0.1457175463438034,34420,,
25,0.0003214285714285714,1175.967452287674,0.22798708081245422,0.08275947719812393,0.14522747695446014,34420,,
26,0.00031428571428571427,1172.0191020965576,0.22728708386421204,0.08254949003458023,0.1447375863790512,34420,,
27,0.0003071428571428572,1178.018746137619,0.2270878702402115,0.08249381184577942,0.14459405839443207,13162,114.34127991985375,68.59450426912157
28,0.0003,1177.1687376499176,0.22624871134757996,0.0824115201830864,0.14383727312088013,34420,,
29,0.00029285714285714283,1177.6511023044586,0.22544769942760468,0.08222199231386185,0.14322568476200104,34420,,
30,0.0002857142857142857,1175.4991071224213,0.22517472505569458,0.08215394616127014,0.1430206149816513,34420,,
31,0.0002785714285714286,1176.4791793823242,0.22451238334178925,0.08204174041748047,0.14247052371501923,13162,112.63933620560115,68.15789865299011
32,0.00027142857142857144,1173.7250437736511,0.22406569123268127,0.0819563940167427,0.1421094387769699,34420,,
33,0.0002642857142857143,1174.5758111476898,0.22349634766578674,0.08192794024944305,0.14156842231750488,34420,,
34,0.0002571428571428571,1173.3377449512482,0.22294069826602936,0.0817522183060646,0.14118845760822296,34420,,
35,0.00025,1166.8705456256866,0.22242000699043274,0.08166119456291199,0.1407586932182312,13162,111.55613441127238,67.54991719260067
36,0.00024285714285714289,1169.1892492771149,0.22217796742916107,0.08162260055541992,0.14055517315864563,34420,,
37,0.0002357142857142857,1166.6560339927673,0.22152569890022278,0.08149485290050507,0.1400308459997177,34420,,
38,0.0002285714285714286,1172.362360715866,0.2208777815103531,0.08140137791633606,0.13947641849517822,34420,,
39,0.00022142857142857142,1171.4340143203735,0.22026747465133667,0.08127531409263611,0.13899187743663788,13162,111.17200867525804,67.45195404012104
40,0.0002142857142857143,1167.1952865123749,0.2201394885778427,0.08120394498109818,0.138935387134552,34420,,
41,0.00020714285714285713,1171.0863885879517,0.21954233944416046,0.08115750551223755,0.13838480412960052,34420,,
